date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-05-10 00:00:00+00:00,118.89,123.78,117.56,123.11,16382441,115.0277653419,119.7589098665,113.7409714324,119.1106753406,16382441,0.0,1.0
2022-05-11 00:00:00+00:00,118.14,122.89,117.94,119.3,14630299,114.3021296787,118.8978222127,114.1086268351,115.4244461712,14630299,0.0,1.0
2022-05-12 00:00:00+00:00,118.04,118.32,115.37,117.0,16318801,114.2053782569,114.4762822378,111.6221152956,113.1991634705,16318801,0.0,1.0
2022-05-13 00:00:00+00:00,119.09,120.25,117.96,119.41,10443203,115.2212681855,116.343584678,114.1279771195,115.5308727351,10443203,0.0,1.0
2022-05-16 00:00:00+00:00,118.26,119.46,117.23,118.54,10269025,114.4182313848,115.579248446,113.4216917405,114.6891353657,10269025,0.0,1.0
2022-05-17 00:00:00+00:00,122.18,122.97,120.81,121.04,11160151,118.2108871181,118.9752233501,116.8853926399,117.10792091,11160151,0.0,1.0
2022-05-18 00:00:00+00:00,120.09,121.97,119.53,121.3,12664912,116.1887824032,118.0077091324,115.6469744412,117.3594746066,12664912,0.0,1.0
2022-05-19 00:00:00+00:00,118.31,119.65,117.63,118.19,12765769,114.4666070957,115.7630761474,113.8086974276,114.3505053895,12765769,0.0,1.0
2022-05-20 00:00:00+00:00,117.34,119.67,115.02,119.46,13150099,113.5281183045,115.7824264317,111.2834853194,115.579248446,13150099,0.0,1.0
2022-05-23 00:00:00+00:00,124.6,126.57,120.45,120.46,24376725,120.552271525,122.4582745338,116.5370875215,116.5467626637,24376725,0.0,1.0
2022-05-24 00:00:00+00:00,126.36,127.49,123.11,124.36,19324922,122.2550965481,123.3483876141,119.1106753406,120.3200681127,19324922,0.0,1.0
2022-05-25 00:00:00+00:00,127.24,127.86,125.17,126.28,12780385,123.1065090597,123.7063678747,121.1037546291,122.1776954107,12780385,0.0,1.0
2022-05-26 00:00:00+00:00,129.44,130.1939,128.21,128.37,15990944,125.2350403386,125.9644493073,124.0449978509,124.1998001257,15990944,0.0,1.0
2022-05-27 00:00:00+00:00,131.27,131.27,129.14,130.16,11177759,127.005591357,127.005591357,124.9447860733,125.9316505754,11177759,0.0,1.0
2022-05-31 00:00:00+00:00,132.23,133.15,129.71,130.18,17015042,127.934405006,128.8245180863,125.4962691774,125.9510008597,17015042,0.0,1.0
2022-06-01 00:00:00+00:00,129.91,132.87,128.67,132.87,10768023,125.6897720209,128.5536141053,124.490054391,128.5536141053,10768023,0.0,1.0
2022-06-02 00:00:00+00:00,132.0,132.01,128.67,129.9,8374794,127.7118767359,127.7215518781,124.490054391,125.6800968788,8374794,0.0,1.0
2022-06-03 00:00:00+00:00,130.16,131.77,129.99,131.21,8596022,125.9316505754,127.4893484659,125.7671731584,126.9475405039,8596022,0.0,1.0
2022-06-06 00:00:00+00:00,129.73,132.39,129.46,131.09,11323459,125.5156194618,128.0892072808,125.254390623,126.8314387978,11323459,0.0,1.0
2022-06-07 00:00:00+00:00,130.07,130.32,128.6159,128.83,6722167,125.8445742958,126.0864528502,124.4377118718,124.6448566658,6722167,0.0,1.0
2022-06-08 00:00:00+00:00,128.0,129.45,126.9,129.0,8422110,123.8418198651,125.2447154808,122.7775542257,124.8093340828,8422110,0.0,1.0
2022-06-09 00:00:00+00:00,125.31,128.1,125.27,127.37,13565478,121.2392066195,123.9385712869,121.2005060508,123.232285908,13565478,0.0,1.0
